2012-01-09 15:39:31 Notice: Notice (8): Undefined property: UsersController::$CompanyRecruiter in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 35]
2012-01-09 16:17:30 Notice: Notice (8): Undefined property: Users::$validates in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 35]
2012-01-09 16:23:13 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:23:56 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:24:43 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:32:39 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:32:43 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:38:04 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:38:09 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-09 16:38:13 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 2]
2012-01-10 06:12:27 Notice: Notice (8): Undefined variable: error in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 78]
2012-01-10 06:12:44 Notice: Notice (8): Undefined variable: error in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 78]
2012-01-10 06:12:45 Notice: Notice (8): Undefined variable: error in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 78]
2012-01-10 06:13:04 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 78]
2012-01-10 06:13:22 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 78]
2012-01-10 06:13:28 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 78]
2012-01-10 06:15:40 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 80]
2012-01-10 06:15:44 Notice: Notice (8): Undefined variable: errors in [/opt/lampp/htdocs/hireroutes/app/views/users/company_recruiter_signup.ctp, line 80]
2012-01-10 06:24:41 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:24:50 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:25:06 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:30:32 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-10 06:48:15 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:48:20 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:49:12 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:49:12 Notice: Notice (8): Undefined variable: confirmation_email in [/opt/lampp/htdocs/hireroutes/app/views/users/confirmation.ctp, line 7]
2012-01-10 06:49:32 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:49:32 Notice: Notice (8): Undefined variable: confirmation_email in [/opt/lampp/htdocs/hireroutes/app/views/users/confirmation.ctp, line 7]
2012-01-10 06:49:35 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:49:35 Notice: Notice (8): Undefined variable: confirmation_email in [/opt/lampp/htdocs/hireroutes/app/views/users/confirmation.ctp, line 7]
2012-01-10 06:50:12 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:50:28 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 06:50:31 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 21]
2012-01-10 09:19:59 Notice: Notice (8): Use of undefined constant rootURL - assumed 'rootURL' in [/opt/lampp/htdocs/hireroutes/app/views/users/user_selection.ctp, line 2]
2012-01-11 08:35:28 Notice: Notice (8): Undefined variable: FB_user_profil in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 194]
2012-01-11 08:42:53 Notice: Notice (8): Undefined variable: FBloginUrl in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 205]
2012-01-11 08:44:20 Notice: Notice (8): Undefined variable: FBloginUrl in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 206]
2012-01-11 08:46:54 Notice: Notice (8): Undefined variable: FBloginlogoutUrl in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 7]
2012-01-11 08:46:54 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:46:54 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
